fiscal_year,year,month,month_numeric,volume_in_mn,avg_daily_volume_in_mn,value_in_cr,avg_daily_value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,June,6,85.69,2.8563,24186.70,806.2233,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,86.99,2.8061,22972.73,741.0558,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,106.18,3.4252,26830.11,865.4874,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,88.89,2.9629,22793.31,759.777,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,94.63,3.0527,24799.22,799.9748,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,November,11,92.56,3.0854,25111.54,837.0513,2026-04-03,2021-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,December,12,9.40,0.3033,25208.11,813.1648,2026-04-03,2022-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2022,January,1,112.55,3.6308,28581.56,921.9858,2026-04-03,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2022,February,2,92.86,3.3164,24974.57,891.9489,2026-04-03,2022-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2022,March,3,103.26,3.331,28479.10,918.6806,2026-04-03,2022-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,116.75,3.8915,31318.27,1043.9423,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,108.26,3.4923,29517.48,952.1768,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,102.17,3.2958,26192.93,844.9332,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,100.50,3.35,26097.37,869.9123,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,115.62,3.7295,30462.95,982.6758,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,94.49,3.1497,33460.74,1115.358,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,December,12,93.45,3.0146,25483.73,822.0558,2026-04-03,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2023,January,1,96.35,3.1079,26202.86,845.2535,2026-04-03,2023-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2023,February,2,91.84,3.2801,25483.16,910.1128,2026-04-03,2023-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2023,March,3,108.36,3.4955,30014.62,968.2136,2026-04-03,2023-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,June,6,94.38,3.1459,25990.62,866.354,2026-04-03,2023-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,July,7,107.89,3.4804,28949.97,933.87,2026-04-03,2023-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,August,8,105.54,3.4046,27022.70,871.6999,2026-04-03,2023-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,September,9,99.14,3.3048,25476.97,849.2323,2026-04-03,2023-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,October,10,98.65,3.1822,25378.31,818.6552,2026-04-03,2023-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,November,11,107.96,3.5986,28971.99,965.733,2026-04-03,2023-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,December,12,92.95,2.9984,24592.06,793.2923,2026-04-03,2024-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2024,January,1,83.97,2.7086,22350.88,720.9961,2026-04-03,2024-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2024,February,2,81.21,2.8005,21543.26,742.871,2026-04-03,2024-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2024,March,3,105.96,3.4179,27303.46,880.7568,2026-04-03,2024-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,June,6,97.38,3.246,24426.21,814.207,2026-04-03,2024-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,July,7,94.43,3.0461,23497.57,757.9861,2026-04-03,2024-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,August,8,97.30,3.1386,23935.45,772.1113,2026-04-03,2024-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,September,9,97.51,3.2504,23389.19,779.6397,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,October,10,122.73,3.959,31480.24,1015.4916,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,November,11,89.83,2.9944,22981.31,766.0437,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,December,12,91.09,2.9383,23194.53,748.2106,2026-04-03,2025-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,January,1,91.51,2.9518,23246.11,749.8745,2026-04-03,2025-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,February,2,92.16,3.2916,23604.71,843.0254,2026-04-03,2025-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,March,3,110.23,3.5558,29560.56,953.5665,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,June,6,94.46,3.1487,25646.12,854.8707,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,July,7,99.70,3.216,25574.32,824.9781,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,August,8,124.55,4.0177,31157.18,1005.0703,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,September,9,103.50,3.4499,26355.58,878.5193,2026-04-03,2025-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,October,10,108.43,3.4979,29379.36,947.7213,2026-04-03,2025-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,November,11,104.90,3.4965,27357.69,911.923,2026-04-03,2025-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,December,12,92.60,2.9872,24082.50,776.8548,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,January,1,95.69,3.0868,24737.44,797.9819,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,February,2,86.73,3.0975,24595.40,878.4071,2026-04-03,2026-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,March,3,107.55,3.4694,30528.57,984.7926,2026-04-03,2026-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
