fiscal_year,year,month,month_numeric,imps_remitter_bank,volume_lakhs,value_cr,updated_on,released_on,data_source,data_url
2025-26,2025,April,4,HDFC BANK,23.73,10105.48,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,FEDERAL BANK,19.13,7722.13,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,YES BANK LTD,13.03,6864,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,RBL BANK LIMITED,3.45,1967.03,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,ICICI BANK,3.34,1156.86,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,EMIRATES NBD BANK,1.35,603.52,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,PUNJAB NATIONAL BANK,0.57,429.86,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,AXIS BANK,0.44,287.42,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,INDUSIND BANK,0.37,200.61,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,CANARA BANK,0.37,147.33,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,THE SOUTH INDIAN BANK,0.25,85.86,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,KOTAK MAHINDRA BANK,0.24,137.77,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,STATE BANK OF INDIA,0.19,73.47,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,CITIBANK,0.01,5.95,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,April,4,IDFC BANK,0.01,2.34,2026-04-03,2025-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,HDFC BANK,29.55,12039.96,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,FEDERAL BANK,23.26,9889.04,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,YES BANK LTD,13.46,6824.59,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,ICICI BANK,3.74,1369.36,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,RBL BANK LIMITED,3.21,2074.63,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,EMIRATES NBD BANK,1.65,799.09,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,CANARA BANK,0.79,405.42,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,PUNJAB NATIONAL BANK,0.61,479.71,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,AXIS BANK,0.41,316.52,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,STATE BANK OF INDIA,0.39,166,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,INDUSIND BANK,0.37,208.17,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,THE SOUTH INDIAN BANK,0.3,116.09,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,KOTAK MAHINDRA BANK,0.27,173.84,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,CITIBANK,0.02,12.61,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,July,7,IDFC BANK,0.01,12.27,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,HDFC BANK,27.2,11706.23,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,FEDERAL BANK,23.09,9662.42,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,YES BANK LTD,11.8,6342.52,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,ICICI BANK,4.11,1412.78,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,RBL BANK LIMITED,3.66,2298.17,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,EMIRATES NBD BANK,1.48,687,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,CANARA BANK,0.87,453.53,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,PUNJAB NATIONAL BANK,0.58,459.32,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,STATE BANK OF INDIA,0.46,197.86,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,INDUSIND BANK,0.41,226.99,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,AXIS BANK,0.4,302.17,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,THE SOUTH INDIAN BANK,0.26,94.81,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,KOTAK MAHINDRA BANK,0.25,160,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,IDFC BANK,0.01,10.11,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,CITIBANK,0.01,8.39,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,HDFC BANK,26.47,11144.66,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,FEDERAL BANK,23.06,9467.54,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,YES BANK LTD,11.37,6055.25,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,RBL BANK LIMITED,4.06,2246.76,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,ICICI BANK,4.38,1509.04,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,EMIRATES NBD BANK,1.53,698.8,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,PUNJAB NATIONAL BANK,0.62,492.72,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,AXIS BANK,0.53,330.93,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,CANARA BANK,0.65,307.95,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,INDUSIND BANK,0.4,243.91,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,STATE BANK OF INDIA,0.35,153.84,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,KOTAK MAHINDRA BANK,0.24,142.68,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,THE SOUTH INDIAN BANK,0.27,100.54,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,CITIBANK,0.01,8.11,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,May,5,IDFC FIRST BANK,0.01,5.13,2026-04-03,2025-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,HDFC BANK,20.04,7913.47,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,FEDERAL BANK,15.06,6790.88,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,YES BANK LTD,14.23,6699.74,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,ICICI BANK,3.35,1169.51,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,RBL BANK LIMITED,3.01,1600.75,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,EMIRATES NBD BANK,1.41,658.49,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,CANARA BANK,0.7,335.91,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,PUNJAB NATIONAL BANK,0.58,443.52,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,THE SOUTH INDIAN BANK,0.56,218.54,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,AXIS BANK,0.51,306.67,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,INDUSIND BANK,0.29,154.74,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,KOTAK MAHINDRA BANK,0.21,102.24,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,STATE BANK OF INDIA,0.1,33.05,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,November,11,CITIBANK,0.01,5.88,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,HDFC BANK,20.63,8131.7,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,FEDERAL BANK,15.77,7262.11,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,YES BANK LTD,15.39,7085.93,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,ICICI BANK,3.4,1181.54,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,RBL BANK LIMITED,3.14,1654.16,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,EMIRATES NBD BANK,1.46,674.27,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,CANARA BANK,0.8,390.65,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,PUNJAB NATIONAL BANK,0.63,450.28,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,AXIS BANK,0.46,305.18,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,THE SOUTH INDIAN BANK,0.42,161.11,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,INDUSIND BANK,0.42,206.21,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,KOTAK MAHINDRA BANK,0.21,97.5,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,STATE BANK OF INDIA,0.07,22.85,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,October,10,CITIBANK,0.01,7.47,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,HDFC BANK,18.2,7401.8,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,YES BANK LTD,15.18,7003.78,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,FEDERAL BANK,12.54,5825.14,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,RBL BANK LIMITED,3.32,1702.8,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,ICICI BANK,2.76,966.74,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,EMIRATES NBD BANK,1.26,561.74,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,CANARA BANK,0.7,355.19,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,PUNJAB NATIONAL BANK,0.65,440.5,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,AXIS BANK,0.51,304.46,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,INDUSIND BANK,0.37,177.43,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,THE SOUTH INDIAN BANK,0.25,125.53,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,KOTAK MAHINDRA BANK,0.19,91.04,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,STATE BANK OF INDIA,0.12,41.72,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,CITIBANK,0.01,6,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,HDFC BANK,24.95,10383.36,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,FEDERAL BANK,24.18,9515.4,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,YES BANK LTD,14.94,7659.67,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,ICICI BANK,3.95,1398.07,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,RBL BANK LIMITED,3.62,2083.46,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,EMIRATES NBD BANK,1.63,745.43,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,THE SOUTH INDIAN BANK,0.85,427.34,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,CANARA BANK,0.74,351.06,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,PUNJAB NATIONAL BANK,0.65,495.95,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,AXIS BANK,0.52,342.08,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,INDUSIND BANK,0.38,208.98,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,KOTAK MAHINDRA BANK,0.26,153.68,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,STATE BANK OF INDIA,0.18,63.4,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,CITIBANK,0.01,8.98,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,IDFC BANK,0,0.32,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,HDFC BANK,35.25,13423.97,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,FEDERAL BANK,20.7,9088.92,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,YES BANK LTD,13.49,6673.24,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,ICICI BANK,3.51,1250.94,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,RBL BANK LIMITED,3.48,2209.44,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,EMIRATES NBD BANK,1.66,780.23,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,CANARA BANK,0.87,467.9,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,PUNJAB NATIONAL BANK,0.6,455.13,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,AXIS BANK,0.42,308.26,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,THE SOUTH INDIAN BANK,0.3,117.49,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,STATE BANK OF INDIA,0.28,135.44,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
